name,state,district,category,lat,lng,image_url,image_attribution,source
Shikargah Kusak,Delhi,New Delhi,,28.603323,77.198151,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Unknown Tomb in the vicinitty of Jawahar Lal Nehru Stadium,Delhi,South,Monument / Tomb,28.58133,77.231309,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jantar Mantar,Delhi,New Delhi,,28.627473,77.216701,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Humayun's tomb, its platforms",Delhi,South East,Monument / Tomb,28.593306,77.250726,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Humayun's tomb, its platforms, garden, enclosure walls and gateways Khasra No. 258 bounded on the east by Khasra No.180&181&244 of Miri Singh and on west by Kh. No. 268&253 on the north by Khasra No. 266, on the south by Kh No. 245 of Miri Singh & Kh. No",Delhi,South East,Monument / Tomb,28.592463,77.247118,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Unnamed tomb, Mohammad Pur Village",Delhi,South,Monument / Tomb,28.565007,77.187884,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Khan-i-Khana,Delhi,South East,Monument / Tomb,28.588039,77.247928,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sat pula,Delhi,South,,28.531588,77.223234,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Walls, gate and bastions of Adilabad (Mohammadabad) and causeway leading there to from Tughlakabad.",Delhi,South East,,28.505062,77.267324,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mosque attached to Mubarak shah Tomb,Delhi,South,Monument / Tomb,28.572319,77.222252,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sakri Gumti-284,Delhi,South,,28.55339,77.201352,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Tomb of Mubarik Shah in Mubarikpur, Kotla",Delhi,South,Monument / Tomb,28.572672,77.222978,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Salimgarh Fort, comprising the main gate on North, Ancient structure near the main gate and the entire fortification wall",Delhi,Central,Fort,28.660572,77.24339,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lakhar wala Gumbad (Tomb),Delhi,South East,Monument / Tomb,28.597956,77.243958,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sunderwala Burj,Delhi,South East,,28.596047,77.245409,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sunderwala Mahal,Delhi,South East,Palace / Haveli,28.596109,77.246537,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Tomb of Mirza Muzaffer,  Bara Batasha",Delhi,South East,Monument / Tomb,28.595797,77.249008,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Tomb of Mirza Muzaffer, Chota Batasha",Delhi,South East,Monument / Tomb,28.595969,77.249729,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Unknown tomb,Delhi,South East,Monument / Tomb,28.595861,77.250536,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Tomb of Ghaziuddin Khan,Delhi,Central,Monument / Tomb,28.645676,77.222052,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Delhi Gate,Delhi,Central,,28.641172,77.240549,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ajmeri Gate,Delhi,Central,,28.646248,77.223984,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Ashokan Pillar South of Hindu Rao Hospital,Delhi,North,,28.673858,77.211841,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
The Old Entrance Gateway of the Garden,Delhi,North,,28.670868,77.228597,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Portion of City Wall near which Brigadier General Jhon Nicholson was mortally wounded on 14th Sept. 1857,Delhi,North,,28.661238,77.218474,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Lal Bangla,Delhi,South East,,28.600364,77.238299,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dolmens in annavasal vattam,Tamil Nadu,Pudukkottai,,10.44483,78.717785,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Dolmens in annavasal vattam,Tamil Nadu,Pudukkottai,,10.447881,78.718752,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Prehistoric site,Tamil Nadu,Turicorin,,8.628476,77.871447,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Hill Fort,Tamil Nadu,Krishnagiri,Fort,12.538223,78.212724,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rock-cut Vishnu shrine called Samanar Kudagu with structural moulded plinth in front,Tamil Nadu,Pudukkottai,Temple,10.505148,78.756336,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Amman Kovil,Tamil Nadu,Pudukkottai,Temple,10.513097,78.767245,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rock-cut Siva Temple called Paliyili Iswaran with structuralmoulded plinth in front,Tamil Nadu,Pudukkottai,Temple,10.513479,78.767462,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Tiruvallur,,13.480594,80.000806,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
"Jain idol, two Durga idols, one Vishnu idol and inscribed stone slab",Tamil Nadu,Pudukkottai,Temple,10.579191,78.80644,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
(1) Jain Tirthankara image in Sighasana posture lying in bas-relief on a slab(2) Remains of the temple(3)Ganesa image; and(4) Nandi with inscriptions on the basement and the surrounding portions in the Karuppar hill,Tamil Nadu,Pudukkottai,Temple,10.384556,78.751715,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jain Tirthankara image,Tamil Nadu,Pudukkottai,,10.639976,78.813976,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Jain image and the surrounding Temple site locally called Mottai Pillaiyarkoil,Tamil Nadu,Pudukkottai,Temple,10.469676,78.840849,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Rock cut Pallava Temple,Tamil Nadu,Villupuram,Temple,12.167688,79.468259,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Fort and Temples on the hill,Tamil Nadu,Salem,Fort,11.4796,77.857958,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Prehistoric settlement site-megalithic period,Tamil Nadu,Tiruvallur,,13.162683,80.198943,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.929471,80.165909,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Two Unfinished Excavations Near The Light House,Tamil Nadu,Kanchipuram,,12.617125,80.191673,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Adjoining Building to the masjid and two ponds,Tamil Nadu,Vellore,,12.901008,79.335367,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Small Monolithic Temples known as Valiankuttai Ratha (unfinished),Tamil Nadu,Kanchipuram,,12.620233,80.18762,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Two small monolithic Temples known as the Pidari Amman Ratha (unfinished),Tamil Nadu,Kanchipuram,,12.619636,80.187621,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Remains of the Fort with the Buildings thereon,Tamil Nadu,Salem,Fort,11.602484,78.598773,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Remains of the Fort with the Buildings thereon,Tamil Nadu,Salem,Fort,11.602259,78.599459,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Remains of the Fort with the Buildings thereon,Tamil Nadu,Salem,Fort,11.602241,78.601266,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.551718,79.912908,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns with stone circles,Tamil Nadu,Kanchipuram,,12.945072,80.07176,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Cairns in the rf at the foot of perambair hills.,Tamil Nadu,Kanchipuram,,12.375222,79.784714,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Urn burial site,Tamil Nadu,Villupuram,,12.022599,79.655832,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.723313,79.976057,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Urn burials,Tamil Nadu,Kanchipuram,,12.691592,80.159309,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.668572,79.974679,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.730265,79.990376,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.802656,79.917972,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Urn burial and megalithic site,Tamil Nadu,Kanchipuram,,13.005744,80.193251,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.954645,79.907459,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.804456,80.231254,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.861952,80.190407,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Tiruvallur,,13.164661,80.152286,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.973121,80.171215,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.506579,79.83799,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.726735,80.187011,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cist,Tamil Nadu,Kanchipuram,,12.833754,80.054091,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns with stone circles,Tamil Nadu,Kanchipuram,,12.854096,80.189856,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.662545,79.977828,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns bounded with stone circles,Tamil Nadu,Kanchipuram,,12.713122,79.977857,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists circumscribed by stone circles,Tamil Nadu,Kanchipuram,,12.722134,79.98223,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists circumscribed by stone circles,Tamil Nadu,Kanchipuram,,12.723669,79.980748,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns intact with stone circles.,Tamil Nadu,Kanchipuram,,12.744985,79.97175,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.667308,80.141144,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.884976,80.190338,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.768006,80.10781,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.786018,79.914619,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Cairns in the rf at the foot of perambair hills.,Tamil Nadu,Kanchipuram,,12.378278,79.787318,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Chromlechs,Tamil Nadu,Kanchipuram,,12.385744,79.789093,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.662714,79.976015,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cairns with stone circles and sarvophagi,Tamil Nadu,Kanchipuram,,13.014021,80.102338,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Group of cairns,Tamil Nadu,Kanchipuram,,12.943147,80.125155,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Megalithic cists and cairns,Tamil Nadu,Kanchipuram,,12.730848,80.187694,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,Punjab,Jalandhar,,31.075834,75.649703,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,Punjab,Jalandhar,,31.149675,75.443926,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Seven Kos Minars on old Badshahi highway form Delhi to Lahore,Punjab,Jalandhar,,31.09914,75.564213,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Mughal Bridge,Punjab,Jalandhar,,31.171666,75.416333,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
Sarai Including Gateway,Punjab,Jalandhar,,31.172393,75.411536,,,"ASI monument register via Bhuvan (ISRO), collected by github.com/answerquest/asi-monuments-xml2csv"
